Engine_speed,Vehicle_speed,Absolute_throttle_position,Calculated_LOAD_value,Acc_Longitudinal,Rate Speed,Rate Throttle,RT/RS,VS/ES
664,0,20.8,66.7,1.6,0,2,0,0
663,0,15.7,41.6,0.3,0,5.1,0,0
666,0,14.9,40,-0.1,0,0.8,0,0
667,0,16.1,54.1,-0.6,0,1.2,0,0
664,0,15.7,60,-0.3,0,0.4,0,0
669,0,15.3,60,0.2,0,0.4,0,0
662,0,14.9,59.6,0.2,0,0.4,0,0
665,0,14.9,58,0.2,0,0,0,0
664,0,14.9,56.9,0.2,0,0,0,0
665,0,14.9,56.5,0.2,0,0,0,0
666,0,14.9,56.5,0.2,0,0,0,0
666,0,16.9,63.9,0.6,0,2,0,0
670,0,23.9,68.2,1.6,0,7,0,0
671,0,14.9,45.9,-0.3,0,9,0,0
668,0,15.3,53.3,-0.5,0,0.4,0,0
664,0,15.7,58,-0.1,0,0.4,0,0
667,0,15.7,59.2,0.3,0,0,0,0
672,0,16.9,58,0.6,0,1.2,0,0
668,0,18,52.9,0.4,0,1.1,0,0
672,0,20.8,56.5,0.7,0,2.8,0,0
665,0,32.5,80.8,1.1,0,11.7,0,0
675,0,78.8,91.4,1.2,0,46.3,0,0
666,0,44.7,73.3,0.9,0,34.1,0,0
669,0,15.7,25.9,-0.1,0,29,0,0
673,0,16.9,36.1,-0.3,0,1.2,0,0
668,0,16.5,31.8,-1.1,0,0.4,0,0
670,0,16.1,29.8,-1.6,0,0.4,0,0
665,0,13.7,22.7,-2.2,0,2.4,0,0
672,0,14.5,22.4,-2.4,0,0.8,0,0
667,0,14.5,33.7,-1.9,0,0,0,0
669,0,14.5,38.4,-1.7,0,0,0,0
669,0,15.3,39.2,-1.7,0,0.8,0,0
672,0,14.9,35.7,-2.1,0,0.4,0,0
679,0,15.3,40.8,-2.1,0,0.4,0,0
666,0,15.7,50.6,-2.1,0,0.4,0,0
666,0,15.7,54.9,-2.6,0,0,0,0
671,0,15.3,56.1,-2.3,0,0.4,0,0
670,0,14.9,56.9,-1.5,0,0.4,0,0
673,0,14.9,56.5,-1.1,0,0,0,0
673,0,14.9,56.1,-1.1,0,0,0,0
670,0,14.9,56.1,-1.1,0,0,0,0
672,0,14.9,55.7,-1.1,0,0,0,0
671,0,14.5,55.7,-1.1,0,0.4,0,0
663,0,14.5,54.9,-1.1,0,0,0,0
674,0,14.9,55.3,-1.1,0,0.4,0,0
670,0,14.5,55.3,-1.1,0,0.4,0,0
670,0,14.5,54.9,-1.1,0,0,0,0
674,0,14.5,55.3,-1.1,0,0,0,0
712,0,14.5,54.9,-1.1,0,0,0,0
967,15,14.5,54.9,-1.1,15,0,0,0.564068816
940,15,14.5,54.5,-1.1,0,0,0,0.580270793
1230,14,14.5,54.9,-1.1,1,0,0,0.413895048
1524,18,14.5,55.3,-1.1,4,0,0,0.429491768
1850,37,14.5,55.3,-1.1,19,0,0,0.727272727
1969,37,14.5,54.9,-1.1,0,0,0,0.683318713
1603,37,14.5,54.9,-1.1,0,0,0,0.839335337
1666,35,14.5,54.9,-1.1,2,0,0,0.76394194
1692,35,14.5,54.9,-1.1,0,0,0,0.75220288
1550,32,14.5,54.9,-1.1,3,0,0,0.750733138
1932,39,14.5,54.9,-1.1,7,0,0,0.73404856
1535,41,14.5,55.3,-1.1,2,0,0,0.971276281
1666,48,14.5,55.3,-1.1,7,0,0,1.047691804
2135,40,14.5,54.9,-1.1,8,0,0,0.681285927
672,0,14.5,54.9,-1.1,40,0,0,0
675,0,14.5,55.3,-1.1,0,0,0,0
666,0,14.5,54.9,-1.1,0,0,0,0
672,0,14.5,54.9,-1.1,0,0,0,0
672,0,14.5,54.9,-1.1,0,0,0,0
673,0,14.5,54.5,-1.1,0,0,0,0
670,0,14.5,54.5,-1.1,0,0,0,0
668,0,14.5,54.9,-1.1,0,0,0,0
668,0,14.5,54.5,-1.1,0,0,0,0
667,0,14.5,54.9,-1.1,0,0,0,0
671,0,14.5,54.9,-1.1,0,0,0,0
664,0,14.5,54.9,-1.1,0,0,0,0
670,0,14.5,54.9,-1.1,0,0,0,0
671,0,14.5,54.9,-1.1,0,0,0,0
674,0,14.5,55.3,-1.1,0,0,0,0
667,0,14.5,54.9,-1.1,0,0,0,0
671,0,14.5,54.9,-1.1,0,0,0,0
670,0,14.5,55.3,-1.1,0,0,0,0
673,0,14.5,54.9,-1.1,0,0,0,0
670,0,14.5,54.9,-1.1,0,0,0,0
671,0,14.5,54.9,-1.1,0,0,0,0
673,0,14.5,54.9,-1.1,0,0,0,0
670,0,14.5,54.9,-1.1,0,0,0,0
670,0,14.5,54.9,-1.1,0,0,0,0
672,0,14.5,54.9,-1.1,0,0,0,0
671,0,14.5,54.9,-1.1,0,0,0,0
670,0,14.5,55.3,-1.1,0,0,0,0
670,0,14.5,54.5,-1.1,0,0,0,0
673,0,14.5,54.9,-1.1,0,0,0,0
669,0,14.5,54.5,-1.1,0,0,0,0
669,0,14.5,54.9,-1.1,0,0,0,0
673,0,14.5,54.9,-1.1,0,0,0,0
668,0,14.5,54.9,-1.1,0,0,0,0
669,0,14.5,54.9,-1.1,0,0,0,0
670,0,14.5,54.5,-1.1,0,0,0,0
671,0,14.5,54.5,0,0,0,0,0
669,0,15.3,53.7,-0.1,0,0.8,0,0
669,0,14.5,37.3,-0.2,0,0.8,0,0
669,0,14.5,38,-0.2,0,0,0,0
668,0,14.9,33.3,-0.4,0,0.4,0,0
669,0,14.1,24.7,-0.7,0,0.8,0,0
669,0,14.1,24.3,-1.1,0,0,0,0
669,0,14.1,26.7,-0.9,0,0,0,0
668,0,15.3,29.8,-0.6,0,1.2,0,0
674,0,18.4,38,-0.1,0,3.1,0,0
831,0,24.7,72.2,0.6,0,6.3,0,0
1451,29,27.8,80.8,0.7,29,3.1,0.178674352,0.726771506
768,4,28.2,80.4,0.7,25,0.4,0.026743516,0.189393939
675,0,22,59.2,0.4,4,6.2,2.590778098,0
674,0,16.9,34.1,0,0,5.1,0,0
676,0,13.7,22.7,-0.4,0,3.2,0,0
670,0,15.7,26.3,-0.2,0,2,0,0
674,0,17.6,41.2,0,0,1.9,0,0
669,0,21.2,62.7,0.3,0,3.6,0,0
667,0,22.7,69,0.4,0,1.5,0,0
673,0,23.5,73.3,0.5,0,0.8,0,0
670,0,22.7,72.9,0.4,0,0.8,0,0
671,0,21.6,67.1,0.4,0,1.1,0,0
670,0,15.7,32.2,-0.1,0,5.9,0,0
667,0,13.7,16.5,-0.6,0,2,0,0
670,0,14.5,20,-0.6,0,0.8,0,0
669,0,20,51.4,0.1,0,5.5,0,0
669,0,21.6,60.8,0.5,0,1.6,0,0
671,0,14.5,22.7,-0.3,0,7.1,0,0
669,0,14.5,24.3,-1.1,0,0,0,0
669,0,14.5,30.6,-2,0,0,0,0
666,0,15.3,36.5,-1.3,0,0.8,0,0
672,0,15.3,43.9,-0.9,0,0,0,0
680,0,15.3,49,-0.6,0,0,0,0
727,0,14.9,50.2,-0.2,0,0.4,0,0
1839,38,14.9,48.6,-0.1,38,0,0,0.75139651
2011,58,14.5,45.1,-0.1,20,0.4,0.033429395,1.04877718
2009,75,14.5,40,-0.2,17,0,0,1.35752749
2075,75,14.5,37.3,-0.2,0,0,0,1.314348302
2043,75,15.3,38,-0.1,0,0.8,0,1.334935256
1986,74,14.5,31,-0.3,1,0.8,1.337175793,1.354939119
1987,74,14.5,30.6,-0.3,0,0,0,1.354257217
1919,74,14.9,31,-0.3,0,0.4,0,1.402245488
1816,68,15.3,30.2,-0.2,6,0.4,0.111431316,1.361633961
1901,68,14.9,27.5,-0.2,0,0.4,0,1.300750801
1960,68,15.3,26.7,-0.2,0,0.4,0,1.261595547
3224,76,14.5,24.7,-0.4,8,0.8,0.167146974,0.857207309
4898,77,14.9,24.7,-0.5,1,0.4,0.668587896,0.571661903
4901,77,14.5,23.5,-0.4,0,0.4,0,0.571311977
4896,77,14.5,22.4,-0.7,0,0,0,0.571895425
1605,60,14.5,22.4,-0.6,17,0,0,1.359388275
1608,60,16.5,29.8,-0.2,0,2,0,1.356852103
1604,60,20.4,52.2,0.3,0,3.9,0,1.360235774
1602,60,16.9,36.1,0.1,0,3.5,0,1.361933946
1609,60,21.2,50.2,0.3,0,4.3,0,1.356008814
1616,60,17.3,36.1,0.1,0,3.9,0,1.350135014
2549,67,17.6,37.6,0,7,0.3,0.071634417,0.955811548
2562,67,17.6,42.4,0.1,0,0,0,0.950961607
2495,67,22.7,70.2,0.4,0,5.1,0,0.976498451
2474,64,27.8,83.1,0.6,3,5.1,2.841498559,0.940692291
2488,64,22,60.4,0.3,0,5.8,0,0.935399006
2540,66,14.5,17.3,-0.3,2,7.5,6.268011527,0.94488189
2392,66,18.4,39.6,0.1,0,3.9,0,1.003344482
2444,63,19.2,45.9,0.1,3,0.8,0.445725264,0.937360512
2187,63,17.3,38,0,0,1.9,0,1.047512159
2182,63,14.1,14.9,-0.5,0,3.2,0,1.049912507
2316,87,15.7,22.4,-0.2,24,1.6,0.111431316,1.365991521
2329,87,16.9,30.2,-0.1,0,1.2,0,1.358366837
2457,92,17.6,36.9,0,5,0.7,0.234005764,1.361601362
2445,92,16.1,29.4,-0.1,0,1.5,0,1.368284068
2007,75,14.1,15.7,-0.4,17,2,0.196643499,1.358880283
2047,77,20,49,0.2,2,5.9,4.930835735,1.367855398
2044,77,14.9,24.7,-0.3,0,5.1,0,1.369863014
2092,77,14.5,16.1,-0.7,0,0.4,0,1.338432122
2098,77,14.9,23.1,-0.5,0,0.4,0,1.334604385
2049,78,15.7,24.7,-0.1,1,0.8,1.337175793,1.38426727
2073,78,14.9,21.2,-0.3,0,0.8,0,1.368241021
2088,78,13.7,15.7,-0.5,0,1.2,0,1.358411703
2079,79,15.3,22.7,-0.4,1,1.6,2.674351585,1.3817832
2050,78,15.3,26.7,-0.2,1,0,0,1.383592018
2023,77,15.7,24.3,-0.2,1,0.4,0.668587896,1.384083045
2084,79,20.8,60.8,0.3,2,5.1,4.262247839,1.378467981
2049,78,15.7,36.1,-0.1,1,5.1,8.524495677,1.38426727
2069,78,14.1,16.1,-0.5,0,1.6,0,1.370886243
2083,78,14.9,23.1,-0.5,0,0.8,0,1.361672413
2093,78,14.1,20.8,-0.6,0,0.8,0,1.355166573
2176,82,13.7,18,-0.6,4,0.4,0.167146974,1.370320856
2173,82,14.1,25.9,-0.4,0,0.4,0,1.372212693
2164,82,14.1,29.4,-0.8,0,0,0,1.377919677
2174,82,14.1,31,-1.5,0,0,0,1.3715815
2180,82,14.9,34.1,-1.6,0,0.8,0,1.367806505
2184,82,14.9,41.2,-1.5,0,0,0,1.365301365
2187,82,15.3,48.6,-1.6,0,0.4,0,1.363428524
2167,82,14.9,49,-1.4,0,0.4,0,1.376012082
2175,82,14.9,49.4,-0.5,0,0,0,1.370950888
2168,82,14.5,48.6,-0.1,0,0.4,0,1.37537739
2137,82,14.5,49.8,-0.1,0,0,0,1.395329051
2104,79,14.5,50.6,-0.1,3,0,0,1.365364673
2096,79,14.5,50.6,-0.1,0,0,0,1.370575989
2100,79,14.5,51,-0.1,0,0,0,1.367965368
2000,75,14.5,51.8,-0.1,4,0,0,1.363636364
1995,75,14.5,51.8,-0.1,0,0,0,1.367053999
2002,75,14.5,51.8,-0.1,0,0,0,1.36227409
2015,75,14.5,52.5,-0.1,0,0,0,1.353485224
2064,78,14.5,52.2,-0.1,3,0,0,1.374207188
1694,64,14.5,52.5,-0.1,14,0,0,1.373832779
1928,70,14.5,52.9,-0.1,6,0,0,1.320256507
1847,72,14.5,52.9,-0.1,2,0,0,1.417532116
1968,72,14.5,53.7,-0.1,0,0,0,1.33037694
1881,72,14.5,53.7,-0.1,0,0,0,1.391909526
1762,66,14.5,54.1,-0.1,6,0,0,1.362088536
1671,66,14.5,54.1,-0.1,0,0,0,1.436265709
1735,66,14.5,54.1,-0.1,0,0,0,1.383285303
1771,66,14.9,54.5,-0.1,0,0.4,0,1.355166573
1959,73,14.5,54.1,-0.1,7,0.4,0.095512557,1.355051278
1972,74,14.5,54.1,-0.1,1,0,0,1.364558363
1985,74,14.5,53.7,-0.1,0,0,0,1.355621708
2005,75,14.5,54.9,-0.1,1,0,0,1.360235774
1988,75,14.5,54.1,-0.1,0,0,0,1.371867569
1898,71,14.5,53.7,-0.1,4,0,0,1.360283552
1896,71,14.5,54.9,-0.1,0,0,0,1.36171845
1898,71,14.5,53.7,-0.1,0,0,0,1.360283552
1890,71,14.5,55.3,-0.1,0,0,0,1.366041366
1863,70,14.5,54.1,-0.1,1,0,0,1.366320207
1967,74,14.5,54.5,-0.1,4,0,0,1.368026991
1962,74,14.9,54.9,-0.1,0,0.4,0,1.371513298
1935,73,14.5,54.1,-0.1,1,0.4,0.668587896,1.371858116
1948,73,14.5,54.5,-0.1,0,0,0,1.362703005
1949,73,14.5,54.5,-0.1,0,0,0,1.362003825
1960,73,14.9,54.9,-0.1,0,0.4,0,1.354359926
1946,74,14.5,54.5,-0.1,1,0.4,0.668587896,1.382789872
1907,74,14.5,54.5,-0.1,0,0,0,1.411069266
1954,73,14.9,55.3,-0.1,1,0.4,0.668587896,1.358518656
1948,73,14.9,54.9,-0.1,0,0,0,1.362703005
1945,73,14.5,54.5,0.1,0,0.4,0,1.364804861
1948,73,14.9,54.5,0.2,0,0.4,0,1.362703005
1957,73,14.5,54.5,-0.2,0,0.4,0,1.356436103
2233,83,14.5,54.9,-0.3,10,0,0,1.35162643
2200,83,14.5,54.5,-0.2,0,0,0,1.371900826
1894,69,14.5,54.5,-0.1,14,0,0,1.324757608
1837,69,14.5,54.1,-0.1,0,0,0,1.365863315
1692,63,14.5,54.1,-0.1,6,0,0,1.353965184
1661,65,14.5,54.5,-0.1,2,0,0,1.423020086
1807,62,14.5,54.9,0,3,0,0,1.24767319
1664,62,14.5,53.7,-0.1,0,0,0,1.354895105
1694,63,14.9,55.3,-0.1,1,0.4,0.668587896,1.352366642
2085,76,14.5,54.9,0,13,0.4,0.051429838,1.325485066
2034,76,14.5,54.5,-0.1,0,0,0,1.358719943
2020,76,14.5,54.5,-0.1,0,0,0,1.368136814
2012,75,14.5,54.9,0.1,1,0,0,1.355503344
971,14,14.5,52.9,0.3,61,0,0,0.524295478
1019,14,16.5,59.2,0.7,0,2,0,0.499598537
994,14,17.3,52.5,0.8,0,0.8,0,0.512163892
960,16,16.9,43.1,0.3,2,0.4,0.334293948,0.606060606
1625,24,19.6,53.7,0.8,8,2.7,0.564121037,0.537062937
665,0,21.2,54.5,0.8,24,1.6,0.111431316,0
661,0,21.2,61.6,0.8,0,0,0,0
665,0,16.5,33.3,0,0,4.7,0,0
689,0,18.8,44.7,0.3,0,2.3,0,0
666,0,18,40,0.3,0,0.8,0,0
662,0,14.9,26.7,-0.3,0,3.1,0,0
664,0,15.3,34.1,-0.8,0,0.4,0,0
667,0,15.3,39.2,-0.8,0,0,0,0
668,0,15.3,44.3,-0.1,0,0,0,0
669,0,16.9,51,0.1,0,1.6,0,0
665,0,17.3,51.8,0.3,0,0.4,0,0
668,0,14.9,40.4,-0.1,0,2.4,0,0
662,0,14.9,39.2,-0.1,0,0,0,0
664,0,14.9,40,-0.3,0,0,0,0
661,0,14.9,42.4,-0.2,0,0,0,0
670,0,15.7,46.3,-0.1,0,0.8,0,0
669,0,17.6,56.5,0.2,0,1.9,0,0
671,0,21.2,67.1,0.5,0,3.6,0,0
666,0,26.3,80.4,0.8,0,5.1,0,0
675,0,30.6,86.7,0.9,0,4.3,0,0
1711,66,38,87.8,0.8,66,7.4,0.187407213,1.402688486
660,0,16.5,40.4,0.1,66,21.5,0.544493931,0
661,0,15.3,27.5,-0.6,0,1.2,0,0
664,0,15.3,28.6,-0.9,0,0,0,0
665,0,14.9,31.8,-0.5,0,0.4,0,0
666,0,14.9,32.2,-0.2,0,0,0,0
669,0,16.1,38.4,-0.1,0,1.2,0,0
671,0,20.8,63.5,0.5,0,4.7,0,0
669,0,26.3,80,0.8,0,5.5,0,0
676,0,56.9,91,0.9,0,30.6,0,0
665,0,82.4,93.3,0.9,0,25.5,0,0
667,0,79.2,92.9,1,0,3.2,0,0
676,0,59.2,90.2,1,0,20,0,0
670,0,30.6,60,0.6,0,28.6,0,0
669,0,16.5,27.5,-0.1,0,14.1,0,0
672,0,17.3,34.5,0,0,0.8,0,0
672,0,20.8,52.9,0.3,0,3.5,0,0
670,0,13.7,20,-0.3,0,7.1,0,0
668,0,13.7,20.8,-0.8,0,0,0,0
670,0,14.1,24.7,-1.5,0,0.4,0,0
673,0,14.5,29,-1.7,0,0.4,0,0
674,0,14.5,35.3,-1.5,0,0,0,0
670,0,14.9,37.6,-0.8,0,0.4,0,0
671,0,16.1,42.4,-0.1,0,1.2,0,0
670,0,23.1,72.5,0.7,0,7,0,0
670,0,46.3,89.4,1.1,0,23.2,0,0
668,0,83.1,93.3,0.9,0,36.8,0,0
675,0,83.9,93.3,0.9,0,0.8,0,0
666,0,48.2,89.4,0.9,0,35.7,0,0
671,0,19.6,46.7,0.4,0,28.6,0,0
671,0,16.9,33.3,0,0,2.7,0,0
669,0,22.4,67.1,0.4,0,5.5,0,0
670,0,25.1,78,0.5,0,2.7,0,0
673,0,18.4,49.4,0.2,0,6.7,0,0
669,0,14.1,16.1,-0.4,0,4.3,0,0
671,0,18.8,45.9,0.1,0,4.7,0,0
669,0,16.1,36.9,0,0,2.7,0,0
667,0,16.9,34.9,-0.1,0,0.8,0,0
669,0,13.7,14.1,-0.5,0,3.2,0,0
673,0,16.9,29.4,-0.3,0,3.2,0,0
671,0,16.9,42.7,0,0,0,0,0
669,0,14.1,16.9,-0.4,0,2.8,0,0
671,0,21.2,59.2,0.3,0,7.1,0,0
663,0,16.9,43.9,0,0,4.3,0,0
671,0,21.2,60,0.2,0,4.3,0,0
664,0,24.3,75.3,0.4,0,3.1,0,0
680,0,16.9,37.6,-0.1,0,7.4,0,0
675,0,22.7,70.2,0.4,0,5.8,0,0
669,0,18,42.7,0.1,0,4.7,0,0
668,0,20.8,56.9,0.3,0,2.8,0,0
686,0,18.8,42.4,0.1,0,2,0,0
2106,46,22,59.6,0.4,46,3.2,0.116276156,0.794267461
1912,55,15.3,25.5,-0.2,9,6.7,1.244316362,1.046025105
1943,55,21.6,57.3,0.3,0,6.3,0,1.029336078
689,0,15.3,27.5,-0.1,55,6.3,0.191459261,0
678,0,19.2,40.4,0.1,0,3.9,0,0
670,0,23.5,67.5,0.5,0,4.3,0,0
671,0,27.1,75.7,0.6,0,3.6,0,0
682,0,29.4,80.8,0.6,0,2.3,0,0
672,0,31,82.4,0.7,0,1.6,0,0
662,0,29,76.9,0.6,0,2,0,0
658,0,18,36.5,0.1,0,11,0,0
660,0,14.1,20,-0.3,0,3.9,0,0
664,0,14.5,18.8,-0.5,0,0.4,0,0
666,0,14.9,22.4,-0.6,0,0.4,0,0
672,0,14.5,22,-0.5,0,0.4,0,0
672,0,14.9,23.1,-0.4,0,0.4,0,0
668,0,20,59.6,0.1,0,5.1,0,0
670,0,16.5,45.9,0,0,3.5,0,0
673,0,13.7,18,-0.4,0,2.8,0,0
672,0,17.6,37.6,-0.1,0,3.9,0,0
672,0,22.4,71.8,0.3,0,4.8,0,0
665,0,24.3,79.6,0.3,0,1.9,0,0
671,0,26.7,84.7,0.4,0,2.4,0,0
671,0,25.1,80,0.4,0,1.6,0,0
671,0,33.3,87.8,0.4,0,8.2,0,0
670,0,29,84.7,0.4,0,4.3,0,0
666,0,23.1,73.7,0.3,0,5.9,0,0
670,0,18.4,47.1,0.1,0,4.7,0,0
670,0,21.2,65.5,0.2,0,2.8,0,0
671,0,18,49.8,0.1,0,3.2,0,0
667,0,14.5,18.8,-0.3,0,3.5,0,0
669,0,20,55.7,0.1,0,5.5,0,0
666,0,14.5,27.8,-0.2,0,5.5,0,0
670,0,14.1,17.3,-0.5,0,0.4,0,0
673,0,14.5,21.2,-0.5,0,0.4,0,0
670,0,16.1,29.4,-0.3,0,1.6,0,0
668,0,38.8,82.7,0.3,0,22.7,0,0
670,0,37.6,57.6,0.4,0,1.2,0,0
667,0,13.7,14.1,-0.4,0,23.9,0,0
668,0,15.3,19.6,-0.2,0,1.6,0,0
669,0,18,36.9,-0.1,0,2.7,0,0
668,0,18,43.9,0.1,0,0,0,0
670,0,13.7,14.5,-1.5,0,4.3,0,0
670,0,14.5,22,-1.8,0,0.8,0,0
667,0,14.1,26.7,-1.6,0,0.4,0,0
671,0,14.9,37.6,-2.5,0,0.8,0,0
667,0,15.7,50.2,-2.5,0,0.8,0,0
670,0,15.3,52.9,-1.3,0,0.4,0,0
671,0,14.9,53.3,-0.2,0,0.4,0,0
669,0,14.5,52.9,0,0,0.4,0,0
668,0,14.5,54.5,0,0,0,0,0
671,0,14.5,54.5,0,0,0,0,0
670,0,14.5,54.1,0,0,0,0,0
668,0,14.5,54.9,0,0,0,0,0
670,0,14.5,53.7,0,0,0,0,0
664,0,14.5,54.1,0,0,0,0,0
671,0,14.5,53.7,0,0,0,0,0
669,0,14.5,54.1,0,0,0,0,0
672,0,14.5,54.5,0,0,0,0,0
668,0,14.5,54.5,0,0,0,0,0
669,0,14.5,54.5,0,0,0,0,0
668,0,14.5,54.9,0,0,0,0,0
668,0,14.5,55.3,0,0,0,0,0
670,0,14.5,54.1,0,0,0,0,0
670,0,14.5,54.5,0,0,0,0,0
669,0,14.5,54.9,0,0,0,0,0
670,0,14.5,54.5,0,0,0,0,0
669,0,14.5,54.1,0,0,0,0,0
670,0,14.5,53.7,0,0,0,0,0
667,0,14.5,54.1,0,0,0,0,0
669,0,14.5,53.3,0,0,0,0,0
671,0,14.5,54.1,0,0,0,0,0
667,0,14.5,53.7,0,0,0,0,0
668,0,14.5,53.7,0,0,0,0,0
670,0,14.5,53.3,0,0,0,0,0
670,0,14.5,54.5,0,0,0,0,0
672,0,14.5,54.1,0,0,0,0,0
665,0,14.5,53.7,0,0,0,0,0
669,0,14.5,53.7,0,0,0,0,0
671,0,14.5,54.1,0,0,0,0,0
